Date,msft,google,meta,tesla
21-08-2023,321.8800049,128.9299927,289.8999939,231.2799988
22-08-2023,322.4599915,129.6900024,287.6000061,233.1900024
23-08-2023,327,133.2100067,294.2399902,236.8600006
24-08-2023,319.9700012,130.4199982,286.75,230.0399933
25-08-2023,322.980011,130.6900024,285.5,238.5899963
28-08-2023,323.7000122,131.7899933,290.2600098,238.8200073
29-08-2023,328.4100037,135.4900055,297.9899902,257.1799927
30-08-2023,328.7900085,136.9299927,295.1000061,256.8999939
31-08-2023,327.7600098,137.3500061,295.8900146,258.0799866
01-09-2023,328.6600037,136.8000031,296.3800049,245.0099945
05-09-2023,333.5499878,136.7100067,300.1499939,256.4899902
06-09-2023,332.8800049,135.3699951,299.1700134,251.9199982
07-09-2023,329.9100037,136.1999969,298.6700134,251.4900055
08-09-2023,334.269989,137.1999969,297.8900146,248.5
11-09-2023,337.9400024,137.7400055,307.5599976,273.5799866
12-09-2023,331.769989,136.0700073,301.6600037,267.480011
13-09-2023,336.0599976,137.5,305.0599976,271.2999878
14-09-2023,338.7000122,138.9900055,311.7200012,276.0400085
15-09-2023,330.2200012,138.3000031,300.3099976,274.3900146
18-09-2023,329.0599976,138.9600067,302.5499878,265.2799988
19-09-2023,328.6499939,138.8300018,305.0700073,266.5
20-09-2023,320.769989,134.5899963,299.6700134,262.5899963
21-09-2023,319.5299988,131.3600006,295.730011,255.6999969
22-09-2023,317.0100098,131.25,299.0799866,244.8800049
25-09-2023,317.5400085,132.1699982,300.8299866,246.9900055
26-09-2023,312.1400146,129.4499969,298.9599915,244.1199951
27-09-2023,312.7900085,131.4600067,297.7399902,240.5
28-09-2023,313.6400146,133.1300049,303.9599915,246.3800049
29-09-2023,315.75,131.8500061,300.2099915,250.2200012
02-10-2023,321.7999878,135.1699982,306.8200073,251.6000061
03-10-2023,313.3900146,133.3000031,300.9400024,246.5299988
04-10-2023,318.9599915,136.2700043,305.5799866,261.1600037
05-10-2023,319.3599854,135.9900055,304.7900085,260.0499878
06-10-2023,327.2600098,138.7299957,315.4299927,260.5299988
09-10-2023,329.8200073,139.5,318.3599854,259.6700134
10-10-2023,328.3900146,139.1999969,321.8399963,263.6199951
11-10-2023,332.4200134,141.6999969,327.8200073,262.9899902
12-10-2023,331.1600037,140.2899933,324.1600037,258.8699951
13-10-2023,327.730011,138.5800018,314.6900024,251.1199951
16-10-2023,332.6400146,140.4900055,321.1499939,253.9199982
17-10-2023,332.0599976,140.9900055,324,254.8500061
18-10-2023,330.1099854,139.2799988,316.9700012,242.6799927
19-10-2023,331.3200073,138.9799957,312.8099976,220.1100006
20-10-2023,326.6700134,136.7400055,308.6499939,211.9900055
23-10-2023,329.3200073,137.8999939,314.0100098,212.0800018
24-10-2023,330.5299988,140.1199951,312.5499878,216.5200043
25-10-2023,340.6700134,126.6699982,299.5299988,212.4199982
26-10-2023,327.8900146,123.4400024,288.3500061,205.7599945
27-10-2023,329.8099976,123.4000015,296.730011,207.3000031
30-10-2023,337.3099976,125.75,302.6600037,197.3600006
31-10-2023,338.1099854,125.3000031,301.269989,200.8399963
01-11-2023,346.0700073,127.5699997,311.8500061,205.6600037
02-11-2023,348.3200073,128.5800018,310.8699951,218.5099945
03-11-2023,352.7999878,130.3699951,314.6000061,219.9600067
06-11-2023,356.5299988,131.4499969,315.7999878,219.2700043
07-11-2023,360.5299988,132.3999939,318.8200073,222.1799927
08-11-2023,363.2000122,133.2599945,319.7799988,222.1100006
09-11-2023,360.6900024,131.6900024,320.5499878,209.9799957
10-11-2023,369.6700134,134.0599976,328.769989,214.6499939
13-11-2023,366.6799927,133.6399994,329.1900024,223.7100067
14-11-2023,370.269989,135.4299927,336.3099976,237.4100037
15-11-2023,369.6700134,136.3800049,332.7099915,242.8399963
16-11-2023,376.1700134,138.6999969,334.1900024,233.5899963
17-11-2023,369.8500061,136.9400024,335.0400085,234.3000031
20-11-2023,377.4400024,137.9199982,339.9700012,235.6000061
21-11-2023,373.0700073,138.6199951,336.980011,241.1999969
22-11-2023,377.8500061,140.0200043,341.4899902,234.2100067
24-11-2023,377.4299927,138.2200012,338.230011,235.4499969
27-11-2023,378.6099854,138.0500031,334.7000122,236.0800018
28-11-2023,382.7000122,138.6199951,338.9899902,246.7200012
29-11-2023,378.8500061,136.3999939,332.2000122,244.1399994
30-11-2023,378.9100037,133.9199982,327.1499939,240.0800018
01-12-2023,374.5100098,133.3200073,324.8200073,238.8300018
04-12-2023,369.1400146,130.6300049,320.019989,235.5800018
05-12-2023,372.519989,132.3899994,318.2900085,238.7200012
06-12-2023,368.7999878,131.4299927,317.4500122,239.3699951
07-12-2023,370.9500122,138.4499969,326.5899963,242.6399994
08-12-2023,374.230011,136.6399994,332.75,243.8399963
11-12-2023,371.2999878,134.6999969,325.2799988,239.7400055
12-12-2023,374.3800049,133.6399994,334.2200012,237.0099945
13-12-2023,374.3699951,133.9700012,334.7399902,239.2899933
14-12-2023,365.9299927,133.1999969,333.1700134,251.0500031
15-12-2023,370.730011,133.8399963,334.9200134,253.5
18-12-2023,372.6499939,137.1900024,344.6199951,252.0800018
19-12-2023,373.2600098,138.1000061,350.3599854,257.2200012
20-12-2023,370.6199951,139.6600037,349.2799988,247.1399994
21-12-2023,373.5400085,141.8000031,354.0899963,254.5
22-12-2023,374.5799866,142.7200012,353.3900146,252.5399933
26-12-2023,374.6600037,142.8200073,354.8299866,256.6099854
27-12-2023,374.0700073,141.4400024,357.8299866,261.4400024
28-12-2023,375.2799988,141.2799988,358.3200073,253.1799927
29-12-2023,376.0400085,140.9299927,353.9599915,248.4799957
02-01-2024,370.8699951,139.5599976,346.2900085,248.4199982
03-01-2024,370.6000061,140.3600006,344.4700012,238.4499969
04-01-2024,367.9400024,138.0399933,347.1199951,237.9299927
05-01-2024,367.75,137.3899994,351.9500122,237.4900055
08-01-2024,374.6900024,140.5299988,358.6600037,240.4499969
09-01-2024,375.7900085,142.5599976,357.4299927,234.9600067
10-01-2024,382.769989,143.8000031,370.4700012,233.9400024
11-01-2024,384.6300049,143.6699982,369.6700134,227.2200012
12-01-2024,388.4700012,144.2400055,374.4899902,218.8899994
16-01-2024,390.269989,144.0800018,367.4599915,219.9100037
17-01-2024,389.4700012,142.8899994,368.3699951,215.5500031
18-01-2024,393.8699951,144.9900055,376.1300049,211.8800049
19-01-2024,398.6700134,147.9700012,383.4500122,212.1900024
