Date,GOOGLE,META,TESLA,MSFT
2025-12-01,291.07394,621.92676,423.7728,472.4106
2025-12-02,294.11905,624.6012,431.9429,476.93936
2025-12-03,296.55313,627.8117,436.82925,481.17368
2025-12-04,298.6965,630.9008,442.41095,481.56717
2025-12-05,300.35806,634.64606,448.6393,480.5101
2025-12-08,301.82904,639.13934,453.7444,479.27203
2025-12-09,302.6028,643.66455,453.30582,479.7994
2025-12-10,303.09848,647.5896,450.71365,481.2396
2025-12-11,303.5746,650.6208,448.47476,479.8719
2025-12-12,303.55933,652.9869,445.63235,478.43567
2025-12-15,303.05753,654.42896,445.64047,476.1237
2025-12-16,302.21417,655.3093,450.92548,473.0903
2025-12-17,301.12106,656.1654,461.5519,470.7117
2025-12-18,299.36267,656.664,467.88815,469.16583
